	balance	buyer_account	currency	deposit_bank_no	goods_title	income	iw_account_log_id	memo	merchant_out_order_no	outcome	partner_id	seller_account	seller_fullname	service_fee	service_fee_ratio	sign_product_name	sub_trans_code_msg	total_fee	trade_no	trade_refund_amount	trans_code_msg	trans_date
	233.00	20880121805545740156	156		广州地铁单程票 1张	2.00	99104946632571		c28c0dd3917f417199dd211aa624437274	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004570086402237	0.00	转账	2016-01-14 11:15:49
	236.00	20881121394625330156	156		广州地铁单程票 1张	3.00	99038219071531		fe57526e0437498882e73bc3eee6485c33	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004530077987136	0.00	转账	2016-01-14 11:19:53
	240.00	20886022902616400156	156		广州地铁单程票 1张	4.00	99353180834641		19a9cb499b5149b3bad7650b43c6b12b40	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004640042814266	0.00	转账	2016-01-14 11:25:36
	246.00	20886022579635500156	156		广州地铁单程票 2张	6.00	98963982855551		10e476b471e643008bd94e0579b83df950	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004550010245338	0.00	转账	2016-01-14 11:29:45
	250.00	20889026343574030156	156		广州地铁单程票 1张	4.00	98997480122401		e28e4f105b194050a928f82e7aeacb0903	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004400060493071	0.00	转账	2016-01-14 11:32:27
	252.00	20880022522457230156	156		广州地铁单程票 1张	2.00	98980393545721		d81ceeb5be9a44fbaf2685d6d077542623	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004720041610679	0.00	转账	2016-01-14 11:34:38
	258.00	20883022589829840156	156		广州地铁单程票 1张	6.00	99478477487981		33c455c2d11d429599a342bbd6c6cbc684	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004980096275132	0.00	转账	2016-01-14 11:35:01
	260.00	20884127239902320156	156		广州地铁单程票 1张	2.00	99149974579231		f627b2eef06e481db9aae9d9a2ce1d7132	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004230059495315	0.00	转账	2016-01-14 11:35:34
	267.00	20883028864398740156	156		广州地铁单程票 1张	7.00	99029674403871		364632aa86dd404dab6560e8e905741174	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004870089360547	0.00	转账	2016-01-14 11:37:46
	272.00	20880025299243200156	156		广州地铁单程票 1张	5.00	99365879731321		02cd2dc790054df1a0918de1ce7202d720	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011421001004320036957400	0.00	转账	2016-01-14 11:38:22
